Jan 28 16:48:27.967 INFO Lighthouse started                      version: Lighthouse/v1.1.0-e4b6213
Jan 28 16:50:05.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:50:17.001 INFO Syncing                                 est_time: 1 hr 10 mins, speed: 97.31 slots/sec, distance: 408958 slots (8 weeks 0 days), peers: 21, service: slot_notifier
Jan 28 16:50:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:50:29.001 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 92.00 slots/sec, distance: 407870 slots (8 weeks 0 days), peers: 20, service: slot_notifier
Jan 28 16:50:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:50:41.000 INFO Syncing                                 est_time: 1 hr 19 mins, speed: 85.34 slots/sec, distance: 407039 slots (8 weeks 0 days), peers: 23, service: slot_notifier
Jan 28 16:50:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:50:53.000 INFO Syncing                                 est_time: 1 hr 21 mins, speed: 82.67 slots/sec, distance: 405888 slots (8 weeks 0 days), peers: 23, service: slot_notifier
Jan 28 16:50:53.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:51:05.001 INFO Syncing                                 est_time: 1 hr 17 mins, speed: 86.69 slots/sec, distance: 404801 slots (8 weeks 0 days), peers: 30, service: slot_notifier
Jan 28 16:51:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:51:17.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 89.34 slots/sec, distance: 403586 slots (8 weeks 0 days), peers: 29, service: slot_notifier
Jan 28 16:51:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:51:29.001 INFO Syncing                                 est_time: 1 hr 9 mins, speed: 96.00 slots/sec, distance: 402435 slots (7 weeks 6 days), peers: 26, service: slot_notifier
Jan 28 16:51:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:51:41.000 INFO Syncing                                 est_time: 1 hr 9 mins, speed: 96.00 slots/sec, distance: 401284 slots (7 weeks 6 days), peers: 30, service: slot_notifier
Jan 28 16:51:41.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:51:53.000 INFO Syncing                                 est_time: 1 hr 8 mins, speed: 97.34 slots/sec, distance: 400133 slots (7 weeks 6 days), peers: 28, service: slot_notifier
Jan 28 16:51:53.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:52:05.001 INFO Syncing                                 est_time: 1 hr 10 mins, speed: 94.67 slots/sec, distance: 399046 slots (7 weeks 6 days), peers: 31, service: slot_notifier
Jan 28 16:52:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:52:17.001 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 92.00 slots/sec, distance: 398023 slots (7 weeks 6 days), peers: 31, service: slot_notifier
Jan 28 16:52:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:52:20.009 INFO Imported deposit log(s)                 new: 28024, total: 31266, latest_block: 11384520, service: eth1_rpc
Jan 28 16:52:29.000 INFO Syncing                                 est_time: 1 hr 11 mins, speed: 92.00 slots/sec, distance: 396872 slots (7 weeks 6 days), peers: 31, service: slot_notifier
Jan 28 16:52:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:52:41.001 INFO Syncing                                 est_time: 1 hr 11 mins, speed: 92.00 slots/sec, distance: 395721 slots (7 weeks 5 days), peers: 36, service: slot_notifier
Jan 28 16:52:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:52:53.001 INFO Syncing                                 est_time: 1 hr 10 mins, speed: 93.34 slots/sec, distance: 394570 slots (7 weeks 5 days), peers: 34, service: slot_notifier
Jan 28 16:52:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:53:05.000 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 90.67 slots/sec, distance: 393675 slots (7 weeks 5 days), peers: 37, service: slot_notifier
Jan 28 16:53:05.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:53:17.001 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 89.34 slots/sec, distance: 392588 slots (7 weeks 5 days), peers: 37, service: slot_notifier
Jan 28 16:53:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:53:29.001 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 89.34 slots/sec, distance: 391437 slots (7 weeks 5 days), peers: 36, service: slot_notifier
Jan 28 16:53:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:53:41.001 INFO Syncing                                 est_time: 1 hr 17 mins, speed: 84.01 slots/sec, distance: 390542 slots (7 weeks 5 days), peers: 42, service: slot_notifier
Jan 28 16:53:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:53:53.001 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 89.34 slots/sec, distance: 389391 slots (7 weeks 5 days), peers: 41, service: slot_notifier
Jan 28 16:53:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:54:05.000 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 88.01 slots/sec, distance: 388368 slots (7 weeks 4 days), peers: 46, service: slot_notifier
Jan 28 16:54:05.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:54:17.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 85.34 slots/sec, distance: 387345 slots (7 weeks 4 days), peers: 45, service: slot_notifier
Jan 28 16:54:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:54:29.001 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 88.00 slots/sec, distance: 386322 slots (7 weeks 4 days), peers: 43, service: slot_notifier
Jan 28 16:54:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:54:41.001 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 86.65 slots/sec, distance: 385236 slots (7 weeks 4 days), peers: 48, service: slot_notifier
Jan 28 16:54:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:54:41.406 INFO Imported deposit log(s)                 new: 18953, total: 50219, latest_block: 11484419, service: eth1_rpc
Jan 28 16:54:53.001 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 86.67 slots/sec, distance: 384212 slots (7 weeks 4 days), peers: 43, service: slot_notifier
Jan 28 16:54:53.002 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:55:05.000 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 88.00 slots/sec, distance: 383125 slots (7 weeks 4 days), peers: 47, service: slot_notifier
Jan 28 16:55:05.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:55:17.007 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 85.33 slots/sec, distance: 382230 slots (7 weeks 4 days), peers: 45, service: slot_notifier
Jan 28 16:55:17.007 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:55:29.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 84.03 slots/sec, distance: 381207 slots (7 weeks 3 days), peers: 42, service: slot_notifier
Jan 28 16:55:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:55:41.000 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 84.01 slots/sec, distance: 380184 slots (7 weeks 3 days), peers: 44, service: slot_notifier
Jan 28 16:55:41.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:55:53.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 84.00 slots/sec, distance: 379097 slots (7 weeks 3 days), peers: 43, service: slot_notifier
Jan 28 16:55:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:56:05.001 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 86.66 slots/sec, distance: 378075 slots (7 weeks 3 days), peers: 45, service: slot_notifier
Jan 28 16:56:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:56:17.000 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 86.67 slots/sec, distance: 377051 slots (7 weeks 3 days), peers: 43, service: slot_notifier
Jan 28 16:56:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:56:29.002 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 85.34 slots/sec, distance: 376092 slots (7 weeks 3 days), peers: 41, service: slot_notifier
Jan 28 16:56:29.002 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:56:41.001 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 84.01 slots/sec, distance: 375069 slots (7 weeks 3 days), peers: 44, service: slot_notifier
Jan 28 16:56:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:56:53.001 INFO Syncing                                 est_time: 1 hr 23 mins, speed: 74.69 slots/sec, distance: 374494 slots (7 weeks 3 days), peers: 44, service: slot_notifier
Jan 28 16:56:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:56:55.147 INFO Imported deposit log(s)                 new: 18709, total: 68928, latest_block: 11584510, service: eth1_rpc
Jan 28 16:57:05.001 INFO Syncing                                 est_time: 1 hr 26 mins, speed: 71.98 slots/sec, distance: 373600 slots (7 weeks 2 days), peers: 45, service: slot_notifier
Jan 28 16:57:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:57:17.001 INFO Syncing                                 est_time: 1 hr 26 mins, speed: 72.01 slots/sec, distance: 372640 slots (7 weeks 2 days), peers: 47, service: slot_notifier
Jan 28 16:57:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:57:29.001 INFO Syncing                                 est_time: 1 hr 26 mins, speed: 72.00 slots/sec, distance: 371617 slots (7 weeks 2 days), peers: 44, service: slot_notifier
Jan 28 16:57:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:57:41.000 INFO Syncing                                 est_time: 1 hr 17 mins, speed: 80.00 slots/sec, distance: 370658 slots (7 weeks 2 days), peers: 47, service: slot_notifier
Jan 28 16:57:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:57:53.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 81.36 slots/sec, distance: 369699 slots (7 weeks 2 days), peers: 45, service: slot_notifier
Jan 28 16:57:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:58:05.001 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 82.67 slots/sec, distance: 368676 slots (7 weeks 2 days), peers: 44, service: slot_notifier
Jan 28 16:58:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:58:17.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 81.34 slots/sec, distance: 367717 slots (7 weeks 2 days), peers: 44, service: slot_notifier
Jan 28 16:58:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:58:29.000 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 82.67 slots/sec, distance: 366694 slots (7 weeks 1 days), peers: 42, service: slot_notifier
Jan 28 16:58:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:58:41.000 INFO Syncing                                 est_time: 1 hr 12 mins, speed: 84.01 slots/sec, distance: 365671 slots (7 weeks 1 days), peers: 44, service: slot_notifier
Jan 28 16:58:41.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:58:53.000 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 81.34 slots/sec, distance: 364776 slots (7 weeks 1 days), peers: 42, service: slot_notifier
Jan 28 16:58:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:58:59.087 INFO Imported deposit log(s)                 new: 12754, total: 81682, latest_block: 11684524, service: eth1_rpc
Jan 28 16:59:05.001 INFO Syncing                                 est_time: 1 hr 24 mins, speed: 72.00 slots/sec, distance: 364265 slots (7 weeks 1 days), peers: 44, service: slot_notifier
Jan 28 16:59:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:59:17.001 INFO Syncing                                 est_time: 1 hr 24 mins, speed: 72.00 slots/sec, distance: 363242 slots (7 weeks 1 days), peers: 40, service: slot_notifier
Jan 28 16:59:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:59:29.000 INFO Syncing                                 est_time: 1 hr 25 mins, speed: 70.67 slots/sec, distance: 362283 slots (7 weeks 1 days), peers: 36, service: slot_notifier
Jan 28 16:59:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:59:41.001 INFO Syncing                                 est_time: 1 hr 25 mins, speed: 70.67 slots/sec, distance: 361388 slots (7 weeks 1 days), peers: 39, service: slot_notifier
Jan 28 16:59:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:59:53.000 INFO Syncing                                 est_time: 1 hr 17 mins, speed: 77.34 slots/sec, distance: 360557 slots (7 weeks 1 days), peers: 40, service: slot_notifier
Jan 28 16:59:53.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:00:05.001 INFO Syncing                                 est_time: 1 hr 28 mins, speed: 67.98 slots/sec, distance: 359983 slots (7 weeks 0 days), peers: 43, service: slot_notifier
Jan 28 17:00:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:00:08.334 INFO Imported deposit log(s)                 new: 7458, total: 89140, latest_block: 11743689, service: eth1_rpc
Jan 28 17:00:17.001 INFO Syncing                                 est_time: 1 hr 27 mins, speed: 68.00 slots/sec, distance: 359023 slots (7 weeks 0 days), peers: 42, service: slot_notifier
Jan 28 17:00:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3237, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:00:29.001 INFO Syncing                                 est_time: 1 hr 26 mins, speed: 69.34 slots/sec, distance: 358064 slots (7 weeks 0 days), peers: 39, service: slot_notifier
Jan 28 17:00:29.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3217, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:00:41.000 INFO Syncing                                 est_time: 1 hr 22 mins, speed: 71.98 slots/sec, distance: 357106 slots (7 weeks 0 days), peers: 43, service: slot_notifier
Jan 28 17:00:41.000 WARN Syncing eth1 block cache                est_blocks_remaining: 3201, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:00:53.001 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 80.02 slots/sec, distance: 356146 slots (7 weeks 0 days), peers: 43, service: slot_notifier
Jan 28 17:00:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3185, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:01:05.000 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 78.67 slots/sec, distance: 355251 slots (7 weeks 0 days), peers: 48, service: slot_notifier
Jan 28 17:01:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3172, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:01:17.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 78.67 slots/sec, distance: 354292 slots (7 weeks 0 days), peers: 45, service: slot_notifier
Jan 28 17:01:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3151, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:01:29.000 INFO Syncing                                 est_time: 1 hr 14 mins, speed: 78.69 slots/sec, distance: 353333 slots (7 weeks 0 days), peers: 43, service: slot_notifier
Jan 28 17:01:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: 3136, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:01:41.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 77.34 slots/sec, distance: 352438 slots (6 weeks 6 days), peers: 46, service: slot_notifier
Jan 28 17:01:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3125, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:01:53.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 77.34 slots/sec, distance: 351543 slots (6 weeks 6 days), peers: 47, service: slot_notifier
Jan 28 17:01:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3108, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:02:05.001 INFO Syncing                                 est_time: 1 hr 16 mins, speed: 76.00 slots/sec, distance: 350648 slots (6 weeks 6 days), peers: 47, service: slot_notifier
Jan 28 17:02:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3093, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:02:17.007 INFO Syncing                                 est_time: 1 hr 19 mins, speed: 73.33 slots/sec, distance: 349817 slots (6 weeks 6 days), peers: 49, service: slot_notifier
Jan 28 17:02:17.007 WARN Syncing eth1 block cache                est_blocks_remaining: 3079, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:02:29.000 INFO Syncing                                 est_time: 1 hr 17 mins, speed: 74.67 slots/sec, distance: 348858 slots (6 weeks 6 days), peers: 49, service: slot_notifier
Jan 28 17:02:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: 3063, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:02:41.000 INFO Syncing                                 est_time: 1 hr 17 mins, speed: 74.67 slots/sec, distance: 347963 slots (6 weeks 6 days), peers: 49, service: slot_notifier
Jan 28 17:02:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3048, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:02:53.001 INFO Syncing                                 est_time: 1 hr 16 mins, speed: 76.01 slots/sec, distance: 347004 slots (6 weeks 6 days), peers: 48, service: slot_notifier
Jan 28 17:02:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3031, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:03:05.001 INFO Syncing                                 est_time: 1 hr 13 mins, speed: 78.68 slots/sec, distance: 346045 slots (6 weeks 6 days), peers: 48, service: slot_notifier
Jan 28 17:03:05.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3018, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:03:17.001 INFO Syncing                                 est_time: 1 hr 15 mins, speed: 75.98 slots/sec, distance: 345215 slots (6 weeks 5 days), peers: 47, service: slot_notifier
Jan 28 17:03:17.001 WARN Syncing eth1 block cache                est_blocks_remaining: 3000, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 17:03:29.000 INFO Syncing                                 est_time: 1 hr 16 mins, speed: 74.67 slots/sec, distance: 344383 slots (6 weeks 5 days), peers: 47, service: slot_notifier
Jan 28 17:03:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: 2981, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
