unix,time,slot,sps,db,mem,pc,out,inc,cpu
1611849001,88,1524,-9,10071786,728047616,13,410,6248,5.89
1611849002,89,1530,-9,10161891,728047616,13,185,176,13.48
1611849003,90,1552,-9,11309772,728047616,13,294,1295,13.52
1611849004,91,1577,-9,12403897,728047616,13,99,107,8.12
1611849005,92,1587,-9,12678729,728047616,13,751,9203,5.37
1611849006,93,1587,-9,12678729,728047616,13,193,146,2.01
1611849007,94,1587,-9,12678729,733962240,13,261,146,2.62
1611849008,95,1587,-9,12678729,733962240,13,393,1252,3.51
1611849009,96,1587,-9,12678729,733962240,13,234,1387,2.12
1611849010,97,1587,-9,12678729,733962240,13,381,6006,10.38
1611849011,98,1602,-9,12946501,733962240,13,119,0,13.53
1611849012,99,1626,-9,7363278,737042432,13,74,97,13.68
1611849013,100,1645,-9,8467961,737042432,13,122,0,7.72
1611849014,101,1650,-9,8622762,737042432,13,208,2736,3.78
1611849015,102,1650,-9,8622762,737042432,13,334,1897,8.38
1611849016,103,1684,-9,9426800,737042432,13,181,81,7.33
1611849017,104,1713,-9,10155360,740843520,14,385,2885,4.99
1611849018,105,1713,-9,10155360,740843520,14,278,192,3.52
1611849019,106,1713,-9,10155360,740843520,14,204,1162,4.26
1611849020,107,1713,-9,10155360,740843520,14,329,290,4.51
1611849021,108,1713,-9,10155360,740843520,14,158,147,3.12
1611849022,109,1713,-9,10155360,741212160,14,61,82,4.62
1611849023,110,1713,-9,10155360,741212160,14,183,15,10.01
1611849024,111,1776,-9,10892070,741212160,15,155,125,4.88
1611849025,112,1776,-9,10892070,741212160,15,154,15,8.53
1611849026,113,1826,-9,11091003,741212160,15,99,0,6.10
1611849027,114,1839,-9,8761610,801468416,15,275,3275,2.25
1611849028,115,1839,-9,8761610,801468416,15,97,65,9.05
1611849029,116,1902,-9,9086719,801468416,15,258,3069,4.48
1611849030,117,1902,-9,9086719,801468416,15,136,289,8.38
1611849031,118,1954,-9,9304092,801468416,15,130,0,6.50
1611849032,119,1965,-9,9435411,863997952,15,81,2490,2.39
1611849033,120,1965,-9,9435411,863997952,15,28,1729,2.39
1611849034,121,1965,-9,9435411,863997952,15,91,1393,2.88
1611849035,122,1965,-9,9435411,863997952,15,222,303,9.12
1611849036,123,2028,-9,9763382,863997952,15,212,206,2.99
1611849037,124,2028,-9,9763382,900194304,15,34,13,1.37
1611849038,125,2028,-9,9763382,900194304,15,107,54,1.38
1611849039,126,2028,-9,9763382,900194304,15,66,359,9.00
1611849040,127,2083,-9,10065972,900194304,15,250,54,2.25
1611849041,128,2091,-9,10089527,900194304,15,173,4410,1.87
1611849042,129,2091,-9,10089527,932978688,15,139,15,7.52
1611849043,130,2146,-9,10302686,932978688,15,84,0,3.50
1611849044,131,2154,-9,10403651,932978688,15,0,0,2.98
1611849045,132,2154,-9,10403651,932978688,15,1116,3065,1.12
1611849047,134,2154,-9,10403651,965902336,15,641,3878,9.56
1611849048,135,2217,-9,10730960,965902336,15,1757,8621,2.63
1611849049,136,2217,-9,10730960,965902336,15,718,3760,2.51
1611849050,137,2217,-9,10730960,965902336,15,771,1639,1.25
1611849051,138,2217,-9,10730960,965902336,15,673,1731,1.38
1611849052,139,2217,-9,10731255,999366656,15,12437,329,1.25
1611849053,140,2217,-9,10731255,999366656,15,223,2824,0.75
1611849054,141,2217,-9,10731255,999366656,15,443,288,9.75
1611849055,142,2280,-9,11048901,999366656,15,884,12219,1.75
1611849056,143,2280,-9,11048901,999366656,15,234,3121,0.88
1611849057,144,2280,-9,11048901,1035644928,15,254,2689,8.14
1611849058,145,2338,-9,11265431,1035644928,15,752,2683,4.73
1611849059,146,2343,-9,11371252,1035644928,15,434,6751,2.12
1611849060,147,2343,-9,11371252,1035644928,15,150,208,10.53
1611849061,148,2405,-9,11680932,1035644928,15,972,13565,3.65
1611849062,149,2405,-9,11680932,1104326656,15,236,1643,3.87
1611849063,150,2434,-9,11747733,1104326656,15,237,99,7.56
1611849064,151,2468,-9,12001743,1104326656,15,374,8628,2.88
1611849065,152,2468,-9,12001743,1104326656,15,334,4054,9.34
1611849066,153,2531,-9,12330182,1104326656,15,514,1404,3.90
1611849067,154,2531,-9,12330182,1175134208,17,525,5327,5.24
1611849068,155,2562,-9,12395279,1175134208,17,260,182,8.29
1611849069,156,2594,-9,12639289,1175134208,16,430,9591,4.35
1611849070,157,2594,-9,12639289,1175134208,16,157,1708,2.50
1611849071,158,2594,-9,12639289,1175134208,16,0,0,2.49
1611849072,159,2594,-9,12639289,1213431808,16,62,43,0.75
1611849073,160,2594,-9,12639289,1213431808,16,145,106,2.87
1611849074,161,2594,-9,12639289,1213431808,16,96,2565,10.62
1611849075,162,2657,-9,11571775,1213431808,16,1018,5826,3.63
1611849076,163,2657,-9,11571775,1213431808,16,288,3606,3.90
1611849077,164,2690,-9,11647592,1247772672,16,168,92,7.99
1611849078,165,2720,-9,11886217,1247772672,16,693,9929,1.25
1611849079,166,2720,-9,11886217,1247772672,16,16,86,2.50
1611849080,167,2720,-9,11886217,1247772672,16,0,0,1.50
1611849081,168,2720,-9,11886217,1247772672,16,0,0,2.63
1611849082,169,2720,-9,11886217,1284829184,16,18,0,3.27
1611849083,170,2720,-9,11886217,1284829184,16,34,0,2.62
1611849084,171,2720,-9,11886217,1284829184,16,304,1388,6.77
1611849085,172,2754,-9,11963509,1284829184,16,677,2223,5.47
1611849086,173,2783,-9,12112318,1284829184,16,238,6404,4.13
1611849087,174,2783,-9,12112318,1305505792,16,0,0,3.75
1611849088,175,2783,-9,12112318,1305505792,16,2252,739365,4.03
1611849089,176,2783,-9,12174267,1305505792,16,400,2326,4.71
1611849090,177,2783,-9,12174267,1305505792,16,18571,932,3.64
1611849091,178,2786,-9,12174267,1305505792,16,0,0,9.16
1611849092,179,2846,-9,12481657,1372971008,16,557,7299,2.76
1611849093,180,2846,-9,12481657,1372971008,16,132,1243,2.13
1611849094,181,2846,-9,12481657,1372971008,16,108,30,10.92
1611849095,182,2846,-9,12481657,1372971008,16,15,0,1.38
1611849096,183,2846,-9,12481657,1372971008,16,0,0,1.12
1611849097,184,2846,-9,12481657,711929856,16,140,1372,10.64
1611849098,185,2882,-9,12638507,711929856,17,229,122,5.51
1611849099,186,2909,-9,12791536,711929856,17,797,8402,2.62
1611849100,187,2909,-9,12791536,711929856,17,117,209,1.88
1611849101,188,2909,-9,12791536,711929856,17,636,488124,3.38
1611849102,189,2909,-9,12791536,787292160,18,332,13698,11.94
1611849103,190,2909,-9,12883576,787292160,18,282,1169,1.00
1611849104,191,2909,-9,12883576,787292160,19,0,13,0.75
1611849105,192,2909,-9,12883576,787292160,19,0,0,2.13
1611849106,193,2909,-9,12883576,787292160,19,15,0,1.25
1611849107,194,2909,-9,12883576,784490496,19,30,0,2.48
1611849108,195,2909,-9,12883576,784490496,19,64,48,1.75
1611849109,196,2909,-9,12883576,784490496,19,74,1274,9.92
1611849110,197,2972,-9,13210296,784490496,19,522,3586,4.35
1611849111,198,2972,-9,13210296,784490496,19,40,1207,8.30
1611849112,199,3009,-9,13379859,810004480,19,89,0,5.39
1611849113,200,3033,-9,13521671,810004480,19,359,6638,3.39
1611849114,201,3033,-9,13521671,810004480,19,54,1547,11.25
1611849115,202,3095,-9,13842946,810004480,19,483,2178,4.76
1611849116,203,3095,-9,13842946,810004480,19,0,0,6.16
1611849117,204,3126,-9,13984744,858714112,19,0,0,12.22
1611849118,205,3158,-9,14484546,858714112,19,374,2815,3.51
1611849119,206,3158,-9,14484546,858714112,19,67,619,2.13
1611849120,207,3158,-9,14484546,858714112,19,16,303,11.47
1611849121,208,3221,-9,14858790,858714112,19,178,933,2.38
1611849122,209,3221,-9,14858790,906252288,19,34,13,12.98
1611849123,210,3233,-9,14885455,906252288,19,63,288,13.59
1611849124,211,3284,-9,13805307,906252288,19,105,2675,5.52
1611849125,212,3284,-9,13805307,906252288,19,162,1312,8.94
1611849126,213,3331,-9,14080636,906252288,19,118,35,4.49
1611849127,214,3347,-9,14131889,879968256,19,201,5641,3.51
1611849128,215,3351,-9,14138536,879968256,19,0,0,9.76
1611849129,216,3410,-9,14462283,879968256,19,139,154,2.12
1611849130,217,3410,-9,14462283,879968256,19,227,1520,8.39
1611849131,218,3457,-9,14654410,879968256,19,290,190,6.62
1611849132,219,3473,-9,14791768,892854272,20,262,5537,3.25
1611849133,220,3473,-9,14791768,892854272,20,53,1265,10.80
1611849134,221,3531,-9,15086799,892854272,20,177,172,2.12
1611849135,222,3536,-9,15097915,892854272,20,158,4056,2.26
1611849136,223,3554,-9,15135923,892854272,20,0,0,9.85
1611849137,224,3599,-9,15416453,908660736,20,222,2004,2.89
1611849138,225,3599,-9,15416453,908660736,20,48,26,1.99
1611849139,226,3599,-9,15416453,908660736,20,0,0,10.88
1611849140,227,3662,-9,15737753,908660736,20,86,248,4.36
1611849141,228,3662,-9,15737753,908660736,20,0,0,16.90
1611849142,229,3682,-9,15780073,955019264,20,48,43,7.44
1611849143,230,3725,-9,16058202,955019264,20,126,377,3.37
1611849144,231,3725,-9,16058202,955019264,20,134,303,10.72
1611849146,233,3788,-9,16375805,955019264,21,863,10628,4.52
1611849147,234,3788,-9,16375805,935235584,21,206,1987,2.63
1611849148,235,3791,-9,16375805,935235584,21,249,104,10.14
1611849149,236,3851,-9,16701396,935235584,21,679,10374,3.76
1611849150,237,3851,-9,16701396,935235584,21,145,2378,8.20
1611849151,238,3906,-9,16907639,935235584,21,642,6046,5.85
1611849152,239,3913,-9,17014079,943910912,21,53,1946,4.99
1611849153,240,3918,-9,17014079,943910912,21,71,0,10.68
1611849154,241,3976,-9,17332427,943910912,21,891,9977,2.88
1611849155,242,3976,-9,17332427,943910912,21,346,5268,8.52
1611849156,243,4034,-9,26270123,943910912,21,633,3955,4.38
1611849157,244,4039,-9,12076787,948318208,21,345,4032,1.25
1611849158,245,4041,-9,12076787,948318208,20,966,5535,11.99
1611849159,246,4046,-9,12094631,948318208,20,510,3296,2.39
1611849160,247,4046,-9,12094631,948318208,21,606,630,1.25
1611849161,248,4046,-9,12094631,948318208,22,97,220,7.12
1611849162,249,4071,-9,12243267,907087872,22,648,2897,7.65
1611849163,250,4109,-9,12437120,907087872,23,694,3336,3.10
1611849164,251,4109,-9,12437120,907087872,24,118,709,2.77
1611849165,252,4111,-9,12439081,907087872,24,162,230,9.92
1611849166,253,4172,-9,12761403,907087872,24,921,13444,5.39
1611849167,254,4181,-9,12787967,913244160,24,192,90,9.16
1611849168,255,4235,-9,13089776,913244160,24,528,7776,2.49
1611849169,256,4235,-9,13089776,913244160,24,15,0,1.63
1611849170,257,4235,-9,13089776,913244160,24,76,208,4.00
1611849171,258,4235,-9,13089776,913244160,24,26,1177,9.77
1611849172,259,4297,-9,13419478,921079808,24,936,13703,3.75
1611849173,260,4297,-9,13419478,921079808,24,0,0,5.89
1611849174,261,4354,-9,13646606,921079808,24,1001,3473,16.23
1611849175,262,4360,-9,13749627,921079808,24,315,5013,1.87
1611849176,263,4360,-9,13749627,921079808,24,34,13,3.13
1611849177,264,4360,-9,13749627,887042048,24,433,793,3.50
1611849178,265,4386,-9,13814354,887042048,25,318,238,8.50
1611849179,266,4423,-9,14095038,887042048,25,361,8350,4.49
1611849180,267,4423,-9,14095038,887042048,25,74,1616,10.53
1611849181,268,4483,-9,14422802,887042048,25,802,4212,4.11
1611849182,269,4486,-9,14439314,894746624,25,87,1593,1.88
1611849183,270,4494,-9,14457988,894746624,25,614,735,9.26
1611849184,271,4548,-9,14773532,894746624,25,588,7450,1.89
1611849185,272,4548,-9,14773532,894746624,25,105,1688,2.26
1611849186,273,4548,-9,14773532,894746624,25,152,1323,2.38
1611849187,274,4548,-9,14773532,899162112,25,0,0,2.64
1611849188,275,4548,-9,14773532,899162112,25,1901,819324,3.38
1611849189,276,4548,-9,14773532,899162112,25,1056,341659,4.27
1611849190,277,4548,-9,14865572,899162112,25,393,395,3.51
1611849191,278,4548,-9,14865572,899162112,25,0,0,3.26
1611849192,279,4548,-9,14865572,925773824,25,99,1383,5.86
1611849193,280,4578,-9,14932712,925773824,25,71,0,9.30
1611849194,281,4611,-9,15192702,925773824,25,346,7212,4.00
1611849195,282,4611,-9,15192702,925773824,25,153,288,1.63
1611849196,283,4611,-9,15192702,925773824,25,0,0,3.62
1611849197,284,4611,-9,15192702,929886208,25,0,0,2.50
1611849198,285,4611,-9,15192702,929886208,25,60,56,2.98
1611849199,286,4611,-9,15192702,929886208,25,0,13,2.38
1611849200,287,4632,-9,15242690,929886208,25,40,208,9.08
1611849201,288,4674,-9,15523096,929886208,25,358,3925,3.89
1611849202,289,4674,-9,15523096,941928448,25,0,0,9.77
1611849203,290,4737,-9,15767739,941928448,25,483,1431,6.27
1611849204,291,4737,-9,14446883,941928448,25,203,4369,10.56
1611849205,292,4800,-9,14698370,941928448,25,379,410,7.23
1611849206,293,4800,-9,14787539,941928448,25,158,3055,4.51
1611849207,294,4800,-9,14787539,1010573312,25,0,0,7.91
1611849208,295,4833,-9,14866967,1010573312,25,241,154,6.75
1611849209,296,4862,-9,15042701,1010573312,25,57,77,2.62
1611849210,297,4862,-9,15042701,1010573312,25,96,235,1.38
1611849211,298,4862,-9,15042701,1010573312,25,174,2417,1.25
1611849212,299,4862,-9,15042701,1031983104,25,48,43,4.36
1611849213,300,4862,-9,15042701,1031983104,25,323,317,0.50
1611849214,301,4862,-9,15042701,1031983104,25,0,0,1.50
1611849215,302,4862,-9,15042701,1031983104,25,0,0,2.25
1611849216,303,4862,-9,15042701,1031983104,25,80,95,0.50
1611849217,304,4862,-9,15042701,1033814016,25,0,0,2.51
1611849218,305,4862,-9,15042701,1033814016,25,0,0,0.88
1611849219,306,4862,-9,15042701,1033814016,25,13,13,0.62
1611849220,307,4862,-9,15042701,1033814016,25,61,208,1.13
1611849221,308,4862,-9,15042701,1033814016,25,104,123,9.24
1611849222,309,4924,-9,15375571,1048682496,25,512,4178,2.62
1611849223,310,4924,-9,15375571,1048682496,25,68,26,3.74
1611849224,311,4930,-9,15382447,1048682496,25,0,0,7.53
1611849225,312,4987,-9,15717812,1048682496,25,669,7213,6.69
1611849226,313,4994,-9,15725747,1048682496,25,136,43,8.40
1611849227,314,5050,-9,16062242,1129816064,25,202,4300,2.13
1611849228,315,5050,-9,16062242,1129816064,25,66,1638,10.07
1611849229,316,5113,-9,16412762,1129816064,25,244,3011,2.01
1611849230,317,5113,-9,16412762,1129816064,25,61,209,6.36
1611849231,318,5143,-9,16576164,1129816064,25,0,0,6.75
1611849232,319,5176,-9,16755536,1194192896,25,180,3803,1.50
1611849233,320,5176,-9,16755536,1194192896,25,152,1995,1.74
1611849234,321,5176,-9,16755536,1194192896,25,62,95,3.88
1611849235,322,5176,-9,16755536,1194192896,25,61,222,2.01
1611849236,323,5176,-9,16755536,1194192896,25,0,0,1.13
1611849237,324,5176,-9,16755536,1198788608,25,39,700,8.84
1611849238,325,5225,-9,17051888,1198788608,25,242,48,4.98
1611849239,326,5239,-9,17094781,1198788608,25,79,2122,4.26
1611849240,327,5251,-9,17115937,1198788608,25,61,208,9.02
1611849241,328,5302,-9,17435138,1198788608,25,110,1115,2.88
1611849242,329,5302,-9,17435138,1262284800,25,0,0,9.99
1611849243,330,5347,-9,17634223,1262284800,25,0,0,6.60
1611849244,331,5365,-9,17776113,1262284800,25,0,0,5.96
1611849245,332,5365,-9,17776113,1262284800,25,61,209,4.89
1611849246,333,5365,-9,17776113,1262284800,25,173,192,3.27
1611849248,335,5365,-9,17776113,1297817600,25,135,119,3.49
1611849249,336,5365,-9,17776113,1297817600,25,0,0,1.25
1611849250,337,5365,-9,17776113,1297817600,25,40,3104,3.62
1611849251,338,5365,-9,17776113,1297817600,25,2091,923377,1.50
1611849252,339,5365,-9,17776113,1297817600,25,1451,1126994,5.85
1611849253,340,5365,-9,17868153,1299427328,25,3616,2404,1.89
1611849254,341,5365,-9,17868153,1299427328,25,0,198,4.12
1611849255,342,5365,-9,17868153,1299427328,25,0,0,1.75
1611849256,343,5365,-9,17868153,1299427328,25,169,2852,3.51
1611849257,344,5365,-9,17868153,1299427328,25,0,0,2.75
1611849258,345,5365,-9,17868153,1348050944,25,0,0,21.07
1611849259,346,5417,-9,18180178,1348050944,25,544,6516,5.12
1611849260,347,5428,-9,18215185,1348050944,25,201,2795,2.88
1611849261,348,5428,-9,18215185,1348050944,25,0,0,4.71
1611849262,349,5428,-9,18215185,1348050944,25,0,0,4.88
1611849263,350,5428,-9,18215185,1106628608,25,0,0,4.76
1611849264,351,5428,-9,18215185,1106628608,25,164,2960,11.19
1611849265,352,5486,-9,17148500,1106628608,25,297,2513,3.00
1611849266,353,5491,-9,17166426,1106628608,25,175,3596,2.63
1611849267,354,5491,-9,17166426,1111138304,25,18,0,3.25
1611849268,355,5491,-9,17166426,1111138304,25,508,40817,10.23
1611849269,356,5554,-9,17519311,1111138304,25,2711,781533,4.62
1611849270,357,5554,-9,17519311,1111138304,25,2463,1223311,5.50
1611849271,358,5554,-9,17611351,1111138304,25,542,1390,5.36
1611849272,359,5571,-9,17648825,1111138304,25,18444,525,8.98
1611849273,360,5617,-9,17964975,1148665856,25,0,0,4.50
1611849274,361,5617,-9,17964975,1148665856,25,91,106,10.03
1611849275,362,5680,-9,18316883,1148665856,24,399,4259,3.00
1611849276,363,5680,-9,18316883,1148665856,24,224,2994,4.14
1611849277,364,5698,-9,18355890,1148665856,24,228,130,8.45
1611849278,365,5743,-9,18658578,1157177344,24,86,1326,1.26
1611849279,366,5743,-9,18658578,1157177344,24,397,1114,10.54
1611849280,367,5806,-9,19036543,1157177344,25,308,2918,3.36
1611849281,368,5806,-9,19036543,1157177344,25,440,1632,1.38
1611849282,369,5806,-9,19036543,1157177344,25,196,349,1.00
1611849283,370,5806,-9,19036543,1162850304,25,15,0,3.99
1611849284,371,5813,-9,19056379,1162850304,25,179,3298,4.26
1611849285,372,5813,-9,19056379,1162850304,25,152,1039,3.13
1611849286,373,5826,-9,19088236,1162850304,25,0,0,10.20
1611849287,374,5875,-9,19403750,1162850304,25,457,8420,10.95
1611849288,375,5938,-9,19773382,1166807040,25,448,5100,2.88
1611849289,376,5938,-9,19773382,1166807040,25,237,2142,8.58
1611849290,377,5988,-9,20084324,1166807040,25,405,3701,13.84
1611849291,378,6001,-9,20128899,1166807040,25,88,1037,1.00
1611849292,379,6001,-9,20128899,1039990784,25,15,0,1.88
1611849293,380,6001,-9,20128899,1039990784,25,82,1577,0.75
1611849294,381,6001,-9,20128899,1039990784,25,56,79,1.25
1611849295,382,6001,-9,20128899,1039990784,25,0,0,0.88
1611849296,383,6001,-9,20128899,1039990784,25,0,0,1.75
1611849297,384,6001,-9,20128899,1039990784,23,0,0,2.88
1611849298,385,6001,-9,20128899,1039990784,23,30,0,2.00
1611849299,386,6001,-9,20128899,1039990784,23,15,0,4.74
1611849300,387,6001,-9,20128899,1039990784,23,308,316,5.14
1611849301,388,6001,-9,20128899,1039990784,24,569,680,3.63
1611849302,389,6001,-9,20128899,1040515072,25,0,0,1.01
1611849303,390,6001,-9,20128899,1040515072,25,238,205,1.01
1611849304,391,6001,-9,20128899,1040515072,25,0,0,2.74
1611849305,392,6001,-9,20128899,1040515072,25,30,0,3.38
1611849306,393,6001,-9,20128899,1040515072,25,0,0,7.52
1611849307,394,6020,-9,20264513,1040515072,25,69,13,7.89
1611849308,395,6064,-9,20489532,1042599936,25,0,0,7.30
1611849309,396,6083,-9,20534342,1042599936,25,60,13,8.90
1611849310,397,6127,-9,19450654,1042599936,25,576,18516,3.63
1611849311,398,6130,-9,19452361,1042599936,25,482,400924,11.08
1611849312,399,6190,-9,19813287,1054957568,25,760,217515,4.76
1611849313,400,6190,-9,19813287,1054957568,25,280,189513,11.74
1611849314,401,6253,-9,20177915,1054957568,25,534,131056,5.89
1611849315,402,6253,-9,20269955,1054957568,25,154,15,12.10
1611849316,403,6316,-9,20651912,1054957568,25,733,17607,4.63
1611849317,404,6316,-9,20680484,1092812800,25,158,2845,3.77
1611849318,405,6316,-9,20680484,1092812800,25,0,0,2.62
1611849319,406,6316,-9,20680484,1092812800,25,0,0,2.89
1611849320,407,6316,-9,20680484,1092812800,25,0,0,2.50
1611849321,408,6316,-9,20680484,1092812800,25,26,43,0.88
1611849322,409,6316,-9,20680484,1092812800,25,0,0,3.25
1611849323,410,6316,-9,20680484,1092812800,25,0,0,3.62
1611849324,411,6316,-9,20680484,1092812800,25,0,0,4.27
1611849325,412,6316,-9,20680484,1092812800,25,0,0,4.25
1611849326,413,6316,-9,20680484,1092812800,25,0,0,4.12
1611849327,414,6316,-9,20680484,1092874240,25,82,70,3.37
1611849328,415,6316,-9,20680484,1092874240,25,0,0,2.51
1611849329,416,6316,-9,20680484,1092874240,25,0,0,4.88
1611849330,417,6316,-9,20680484,1092874240,25,0,0,3.64
1611849331,418,6316,-9,20680484,1092874240,24,51,13,10.14
1611849332,419,6354,-9,20859227,1095249920,24,26,45,8.00
1611849333,420,6379,-9,21044701,1095249920,25,26,61,10.84
1611849334,421,6442,-9,21418395,1095249920,25,153,377,2.50
1611849335,422,6442,-9,21418395,1095249920,25,0,0,9.76
1611849336,423,6505,-9,21789224,1095249920,25,271,4400,2.39
1611849337,424,6505,-9,21789224,1105203200,25,0,0,0.75
1611849338,425,6505,-9,21789224,1105203200,25,26,13,1.76
1611849339,426,6505,-9,21789224,1105203200,25,0,0,0.50
1611849340,427,6505,-9,21789224,1105203200,25,0,0,1.25
1611849341,428,6505,-9,21789224,1105203200,25,0,0,1.89
1611849342,429,6505,-9,21789224,1105203200,25,0,0,1.62
1611849343,430,6505,-9,21789224,1105203200,25,0,0,1.37
1611849345,432,6505,-9,21789224,1105203200,25,568,192256,1.87
1611849346,433,6505,-9,21789224,1105203200,25,4295,2003169,4.50
1611849347,434,6505,-9,21881264,1105203200,25,685,5296,2.24
1611849348,435,6505,-9,21881264,1144897536,25,18765,17990,3.37
1611849349,436,6505,-9,21901862,1144897536,25,0,0,0.62
1611849350,437,6505,-9,21901862,1144897536,25,0,0,1.13
1611849351,438,6505,-9,21901862,1144897536,25,0,13,0.38
1611849352,439,6505,-9,21901862,1144897536,25,0,0,2.75
1611849353,440,6505,-9,21901862,1149702144,25,0,0,3.75
